Entry_norm,class,YourScore,YourPred,PScore,PScorePred,ID_norm_x,PICNIC_score,PICNIC_pred,PSPire_score,PSPire_pred
A0A1I9LRM4,1,0.7798328,1,0.023324652777777777,1,A0A1I9LRM4,0.8279025909278896,1.0,0.65309656,1
A0A1I9LSC0,1,0.5488169,1,0.002207505518763797,0,A0A1I9LSC0,0.7962416770645149,1.0,0.30301484,0
A0A1P8AVE9,1,0.65533286,1,0.01405015844273427,1,A0A1P8AVE9,0.932328438263278,1.0,0.6840366,1
A0A1P8B455,1,0.72522455,1,0.008571358998709425,0,A0A1P8B455,0.9175606583122138,1.0,0.9704666,1
A0A2H1ZEE9,1,0.6287348,1,0.05111799644299281,1,A0A2H1ZEE9,0.8897681497449813,1.0,0.9438055,1
A0JQ00,0,0.59090465,1,0.013215604801477378,1,A0JQ00,0.5132350576274212,1.0,0.14600137,0
A1A6K6,1,0.67963547,1,0.02107240877525834,1,A1A6K6,0.5392261060646402,1.0,0.9035677,1
A2RVK7,1,0.79351914,1,0.0060272216796875,0,A2RVK7,0.5323763764334488,1.0,0.22504249,0
A2RVS6,1,0.6934312,1,0.03284444444444445,1,A2RVS6,0.9216730020715284,1.0,0.9016754,1
A2RVT9,1,0.8081328,1,0.0,0,A2RVT9,0.8537527631073922,1.0,0.34949642,0
A4FVN8,1,0.83383113,1,0.01522558165742289,1,A4FVN8,0.6894342408998941,1.0,0.41485777,0
A9LLI7,1,0.7795711,1,0.010652662174659797,1,A9LLI7,0.8832353906266569,1.0,0.6321919,1
B5X582,1,0.8081328,1,0.0,0,B5X582,0.7789143613768597,1.0,0.19070351,0
B6EUA9,1,0.7445851,1,0.012246067616511435,1,B6EUA9,0.8949123776137957,1.0,0.8459326,1
F4HWC3,1,0.58536357,1,0.003563028353729328,0,F4HWC3,0.9386721469613676,1.0,0.4767178,0
F4HZI8,1,0.64557946,1,0.016292440018107743,1,F4HZI8,0.824339867876289,1.0,0.09000053,0
F4I1G1,1,0.6049472,1,0.009440150833887231,0,F4I1G1,0.716373160947652,1.0,0.7853924,1
F4I366,1,0.65395594,1,0.014260451226648142,1,F4I366,0.808450994503431,1.0,0.72010463,1
F4I3B3,1,0.79941607,1,0.01099861128645373,1,F4I3B3,0.7855778515079522,1.0,0.99290144,1
F4I420,1,0.7230325,1,0.0035588102501379567,0,F4I420,0.937303735505878,1.0,0.63843167,1
F4I9J7,1,0.71864563,1,0.015635721988040387,1,F4I9J7,0.7051849456533044,1.0,0.54105175,1
F4ID16,0,0.7226341,1,0.009338949647337197,0,F4ID16,0.7235323368378976,1.0,0.9929298,1
F4IE66,1,0.69290274,1,0.0130930636524026,1,F4IE66,0.8755217414445569,1.0,0.8484003,1
F4IHU8,1,0.6180752,1,0.0085235595703125,0,F4IHU8,0.6983048910657849,1.0,0.67218864,1
F4ILE1,1,0.8081328,1,0.0,0,F4ILE1,0.8831593471058945,1.0,0.9813636,1
F4IMB5,1,0.8081328,1,0.0,0,F4IMB5,0.2427404390675885,0.0,0.017586097,0
F4IRF5,1,0.79824895,1,0.006152105024898144,0,F4IRF5,0.9043523988669088,1.0,0.60601074,1
F4J6A8,1,0.70573646,1,0.010088172972869671,1,F4J6A8,0.8921190958754154,1.0,0.7556999,1
F4J8X6,1,0.6276673,1,0.01476046887560982,1,F4J8X6,0.6632650031187998,1.0,0.049325623,0
F4JI44,1,0.39149952,0,0.008224874005631207,0,F4JI44,0.6395776234012043,1.0,0.12797964,0
F4JJC1,1,0.62454796,1,0.012620713975694444,1,F4JJC1,0.6102034091314856,1.0,0.20557877,0
F4JLM5,1,0.8081328,1,0.0,0,F4JLM5,0.7907813584506038,1.0,0.9378716,1
F4JPA3,1,0.8081328,1,0.0,0,F4JPA3,0.8652001816406916,1.0,0.03255514,0
F4JQ75,1,0.722212,1,0.014443683716136146,1,F4JQ75,0.8393343658007937,1.0,0.95435035,1
F4JRD3,0,0.6906174,1,0.006061691898832452,0,F4JRD3,0.1824307501312159,0.0,0.049753573,0
F4JRJ6,1,0.7179641,1,0.012309921846695306,1,F4JRJ6,0.763742865280187,1.0,0.78529376,1
F4JRX3,1,0.71033365,1,0.009609039120350151,0,F4JRX3,0.9358670085652196,1.0,0.62284094,1
F4JT92,1,0.717997,1,0.009249747693194924,0,F4JT92,0.902192904582965,1.0,0.8339464,1
F4JTD2,1,0.7861445,1,0.008186445631645552,0,F4JTD2,0.9334993752822078,1.0,0.980193,1
F4JVN6,1,0.8032967,1,0.010401701323251418,1,F4JVN6,0.7795595485710298,1.0,0.3867222,0
F4JWP9,1,0.79963076,1,0.012044629455736542,1,F4JWP9,0.8408119895865738,1.0,0.44687614,0
F4JXE3,1,0.7737028,1,0.012644731361932528,1,F4JXE3,0.8765683883106875,1.0,0.9797662,1
F4JY76,1,0.76511544,1,0.020435585701524626,1,F4JY76,0.3562586678068407,0.0,0.40822172,0
F4K128,1,0.64172995,1,0.013223260218214709,1,F4K128,0.4929431970847229,0.0,0.24834065,0
F4K455,0,0.77284044,1,0.004609375,0,F4K455,0.0602503586754405,0.0,0.004593736,0
F4K4Y5,1,0.6770847,1,0.0016884635972535206,0,F4K4Y5,0.9291582396891612,1.0,0.9014362,1
F4K5T4,1,0.6524384,1,0.008287217063659648,0,F4K5T4,0.716468281658543,1.0,0.36654645,0
O03986,1,0.7368627,1,0.007752747129048037,0,O03986,0.874868630101653,1.0,0.92935073,1
